type,url_or_path
local_upload_path,wp-content/uploads/2013/06/Ailin_continuous_minimum_29_Jan_2016_submitted.pdf
local_upload_path,wp-content/uploads/2013/06/BuyerConfusion_IJIO_2011_KalayciPotters.pdf
local_upload_path,wp-content/uploads/2013/06/Complexityandbiases_ExpEcon2015_KalayciSerraGarcia.pdf
local_upload_path,wp-content/uploads/2013/06/Confusopoly_ExpEcon2015_Kalayci.pdf
local_upload_path,wp-content/uploads/2013/06/ECON3060-Syllabus-2013.pdf
local_upload_path,wp-content/uploads/2013/06/Econ7400-Syllabus-2013.pdf
local_upload_path,wp-content/uploads/2013/06/KALAYCI_CV_July2017.pdf
local_upload_path,wp-content/uploads/2013/06/PriceComplexity_JEBO2015_Kalayci.pdf
local_upload_path,wp-content/uploads/2013/06/Retirement_JBehExpEcon2016_Tse_etal.pdf
local_upload_path,wp-content/uploads/2017/07/FKP_2017_08_22.pdf
local_upload_path,wp-content/uploads/2017/07/KLM_Twosided_230617.pdf
local_upload_path,wp-content/uploads/2020/08/Bao_et_al_JEBO_2020.pdf
local_upload_path,wp-content/uploads/2026/01/PyramidSchemes.pdf
pdf_link,http://econweb.ucsd.edu/%7Ejandreoni/Econ264/papers/Kahneman%20et%20al%20JEP%201991.pdf
pdf_link,http://econweb.ucsd.edu/~jandreoni/Econ264/papers/Kahneman%20et%20al%20JEP%201991.pdf
pdf_link,http://kenankalayci.com/wp-content/uploads/2013/06/Ailin_continuous_minimum_29_Jan_2016_submitted.pdf
pdf_link,http://kenankalayci.com/wp-content/uploads/2013/06/BuyerConfusion_IJIO_2011_KalayciPotters.pdf
pdf_link,http://kenankalayci.com/wp-content/uploads/2013/06/Complexityandbiases_ExpEcon2015_KalayciSerraGarcia.pdf
pdf_link,http://kenankalayci.com/wp-content/uploads/2013/06/Confusopoly_ExpEcon2015_Kalayci.pdf
pdf_link,http://kenankalayci.com/wp-content/uploads/2013/06/ECON3060-Syllabus-2013.pdf
pdf_link,http://kenankalayci.com/wp-content/uploads/2013/06/Econ7400-Syllabus-2013.pdf
pdf_link,http://kenankalayci.com/wp-content/uploads/2013/06/KALAYCI_CV_July2017.pdf
pdf_link,http://kenankalayci.com/wp-content/uploads/2013/06/PriceComplexity_JEBO2015_Kalayci.pdf
pdf_link,http://kenankalayci.com/wp-content/uploads/2013/06/Retirement_JBehExpEcon2016_Tse_etal.pdf
pdf_link,http://kenankalayci.com/wp-content/uploads/2017/07/FKP_2017_08_22.pdf
pdf_link,http://kenankalayci.com/wp-content/uploads/2017/07/KLM_Twosided_230617.pdf
pdf_link,http://kenankalayci.com/wp-content/uploads/2020/08/Bao_et_al_JEBO_2020.pdf
pdf_link,http://media.wix.com/ugd/108e6c_9f45c75c52844c0b998e91c56e6df735.pdf
pdf_link,http://rady.ucsd.edu/faculty/directory/gneezy/pub/docs/risk-taking.pdf
pdf_link,http://www.prism.gatech.edu/%7Etbesedes3/besedes-breakdown.pdf
pdf_link,http://www.prism.gatech.edu/~tbesedes3/besedes-breakdown.pdf
pdf_link,http://www.tau.ac.il/%7Erani/nudge.pdf
pdf_link,http://www.tau.ac.il/~rani/nudge.pdf
pdf_link,https://economics.uq.edu.au/files/54088/Gunawardena_Friesen_Kalayci_v1%20-%2012-09-2025-1.pdf
pdf_link,https://kenankalayci.com/wp-content/uploads/2026/01/PyramidSchemes.pdf
pdf_link,https://my.uq.edu.au/files/11020/guide-literature-review-research-students.pdf
pdf_link,https://static1.squarespace.com/static/5e6033a4ea02d801f37e15bb/t/5eda74919c44fa5f87452697/1591374993570/phd_paper_writing.pdf
pdf_link,https://web.stanford.edu/~gentzkow/research/CodeAndData.pdf
pdf_link,https://web.stanford.edu/~niederle/ResearchTopic.pdf
pdf_link,https://www.brown.edu/Research/Shapiro/pdfs/applied_micro_slides.pdf
pdf_link,https://www.brown.edu/Research/Shapiro/pdfs/foursteps.pdf
